STD_YM,BLOCK_CD,X_COORD,Y_COORD,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN
202001,3.63504E+19,1000033.992,1606529.147,0.95,1.2,0.95,1.22,1.2,0.32,0.25
202001,3.63504E+19,1000033.992,1606979.147,7.38,9.25,17.3,9.36,21.93,50.11,38.48
202001,3.63504E+19,1000033.992,1607279.147,2.83,3.37,3.81,3.55,3.76,3.97,4.4
202001,3.63504E+19,1000033.992,1607329.147,3.21,3.85,4.36,4.04,4.29,4.56,5.01
202001,3.63504E+19,1000033.992,1621979.147,0.04,0.04,0.02,0.04,0.02,0,0
202001,3.63504E+19,1000033.992,1622029.147,0.23,0.18,0.14,0.19,0.16,0.02,0.02
202001,3.63504E+19,1000033.992,1622079.147,0.04,0.04,0.02,0.04,0.02,0,0
202001,3.63504E+19,1000033.992,1624079.147,10.74,12.38,5.53,11.9,9.55,2.49,2.19
202001,3.63504E+19,1000033.992,1626329.147,0.57,0.32,0.11,0.26,0.67,2.05,2.07
202001,3.60204E+19,1000033.992,1640379.147,11.8,12.57,9.99,13.08,10.28,0.55,0.53
202001,3.60306E+19,1000033.992,1653279.147,0.11,0.11,0.18,0.12,0.18,0.28,0.23
202001,3.60306E+19,1000033.992,1653879.147,0.16,0.18,0.28,0.19,0.28,0.51,0.42
202001,3.60306E+19,1000033.992,1654429.147,0.04,0.04,0.04,0.04,0.04,0.04,0.02
202001,3.60306E+19,1000033.992,1654779.147,34.68,35.28,41.5,40.72,50.71,71.16,51.19
202001,3.60306E+19,1000033.992,1654829.147,18.63,18.42,20.5,19.6,26.82,37.96,25.98
202001,3.60306E+19,1000033.992,1655779.147,0.41,0.35,0.3,0.41,0.34,0.02,0.02
202001,3.60306E+19,1000033.992,1655829.147,0.25,0.23,0.19,0.26,0.23,0.02,0.02
202001,3.60306E+19,1000033.992,1656029.147,0.48,0.49,0.41,0.53,0.44,0.02,0.02
202001,3.60306E+19,1000033.992,1656229.147,2.84,2.86,2.93,3.05,3.39,3.83,3.11
202001,3.60306E+19,1000033.992,1656279.147,1.85,1.89,1.84,2.03,2.08,1.85,1.55
202001,3.60306E+19,1000033.992,1656629.147,0.21,0.23,0.18,0.25,0.19,0,0
202001,3.60306E+19,1000033.992,1656779.147,0.14,0.12,0.11,0.12,0.11,0,0
202001,3.60306E+19,1000033.992,1656879.147,0,0,0,0.02,0,0,0
202001,3.60306E+19,1000033.992,1656929.147,0.11,0.11,0.07,0.11,0.09,0,0
202001,3.60306E+19,1000033.992,1657129.147,3.81,3.58,3.73,3.51,5.19,7.17,5.33
202001,3.60306E+19,1000033.992,1657179.147,8.99,8.71,9.09,8.95,11.48,15.43,11.81
202001,3.60306E+19,1000033.992,1657279.147,1.71,1.66,1.68,1.75,1.87,2.19,1.73
202001,3.60306E+19,1000033.992,1657329.147,4.59,4.47,4.7,4.68,5.33,6.97,5.51
202001,3.60306E+19,1000033.992,1657379.147,1.8,1.75,1.84,1.84,2.08,2.83,2.24
